,District,TotalNPK,Rice_Production,Maize_Production,Admin_Zone,M_Rice,M_Maize,R - NPK 10,M - NPK 10,R - NPK 20,M - NPK 20,R - NPK -10,M - NPK -10,R - NPK -20,M - NPK -20
0,BENGALURU,23310,3376,2879,Bengaluru Division,6.351466521252799,6.634695715875386,18181,18344,32986,33809,-11429,-12586,-26234,-28051
1,BENGALURU(R),19259,2354,42583,Bengaluru Division,6.351466521252799,6.634695715875386,14586,55360,26818,68138,-9878,29805,-22110,17027
2,RAMANAGARA,7472,12128,10450,Bengaluru Division,6.351466521252799,6.634695715875386,16873,15407,21619,20364,7382,5492,2636,535
3,CHITRADURGA,35884,4566,271975,Bengaluru Division,6.351466521252799,6.634695715875386,27357,295782,50149,319590,-18225,248167,-41017,224359
4,DAVANAGERE,99644,489505,593544,Bengaluru Division,6.351466521252799,6.634695715875386,552793,659654,616082,725765,426216,527433,362927,461322
5,KOLAR,22190,864,1759,Bengaluru Division,6.351466521252799,6.634695715875386,14957,16481,29051,31203,-13229,-12963,-27323,-27685
6,CHIKKABALLAPURA,28357,2698,105491,Bengaluru Division,6.351466521252799,6.634695715875386,20708,124305,38719,143119,-15312,86676,-33323,67862
7,SHIVAMOGGA,56609,384974,226532,Bengaluru Division,6.351466521252799,6.634695715875386,420929,264090,456884,301648,349018,188973,313063,151415
8,TUMAKURU,38148,26042,66868,Bengaluru Division,6.351466521252799,6.634695715875386,50271,92178,74501,117488,1812,41557,-22417,16247
9,CHIKKAMAGALURU,67863,110533,61353,Mysuru Division,1.7367424804090452,2.276482375533955,122319,76801,134105,92250,98746,45904,86960,30455
10,DAKSHINA KANNADA,18588,132588,0,Mysuru Division,1.7367424804090452,2.276482375533955,135816,4231,139044,8463,129359,-4231,126131,-8463
11,UDUPI,6148,138156,109,Mysuru Division,1.7367424804090452,2.276482375533955,139223,1508,140291,2908,137088,-1290,136020,-2690
12,HASSAN,68431,143705,333937,Mysuru Division,1.7367424804090452,2.276482375533955,155589,349515,167474,365093,131820,318358,119935,302780
13,KODAGU,40947,86303,17921,Mysuru Division,1.7367424804090452,2.276482375533955,93414,27242,100525,36564,79191,8599,72080,-722
14,MANDYA,60558,246543,19387,Mysuru Division,1.7367424804090452,2.276482375533955,257060,33172,267577,46958,236025,5601,225508,-8184
15,MYSURU,62014,354227,137154,Mysuru Division,1.7367424804090452,2.276482375533955,364997,151271,375767,165388,343456,123036,332686,108919
16,CHAMARAJANAGAR,23803,45856,147886,Mysuru Division,1.7367424804090452,2.276482375533955,49989,153304,54123,158723,41722,142467,37588,137048
17,BELAGAVI,179992,177552,576758,Belagavi Division,0.5999332032220399,3.1102860840653554,188350,632740,199148,688723,166753,520775,155955,464792
18,VIJAYAPURA,54228,170,226327,Belagavi Division,0.5999332032220399,3.1102860840653554,3423,243193,6676,260059,-3083,209460,-6336,192594
19,BAGALKOT,84812,85,251699,Belagavi Division,0.5999332032220399,3.1102860840653554,5173,278077,10261,304456,-5003,225320,-10091,198941
20,DHARAWAD,37381,33989,90634,Belagavi Division,0.5999332032220399,3.1102860840653554,36231,102260,38474,113887,31746,79007,29503,67380
21,GADAG,23280,7258,138476,Belagavi Division,0.5999332032220399,3.1102860840653554,8654,145716,10051,152957,5861,131235,4464,123994
22,HAVERI,65001,125422,413487,Belagavi Division,0.5999332032220399,3.1102860840653554,129321,433704,133221,453921,121522,393269,117622,373052
23,UTTARA KANNADA,15316,152981,24088,Belagavi Division,0.5999332032220399,3.1102860840653554,153899,28851,154818,33615,152062,19324,151143,14560
24,BALLARI,61664,206115,104045,Kalaburagi Division,5.133653450807665,-0.1900823702833952,237771,102872,269427,101700,174458,105217,142802,106389
25,BIDAR,24658,2036,2791,Kalaburagi Division,5.133653450807665,-0.1900823702833952,14694,2322,27353,1853,-10622,3259,-23281,3728
26,KALABURAGI,53999,7888,14621,Kalaburagi Division,5.133653450807665,-0.1900823702833952,35609,13594,63330,12568,-19833,15647,-47554,16673
27,YADGIRI,91389,224659,2673,Kalaburagi Division,5.133653450807665,-0.1900823702833952,271574,935,318490,-801,177743,4410,130827,6147
28,RAICHUR,117235,492342,723,Kalaburagi Division,5.133653450807665,-0.1900823702833952,552526,-1505,612710,-3733,432157,2951,371973,5179
29,KOPPAL,73552,243505,190252,Kalaburagi Division,5.133653450807665,-0.1900823702833952,281264,188853,319023,187455,205745,191650,167986,193048
30,Vijayanagara,61664,206115,104045,Kalaburagi Division,5.133653450807665,-0.1900823702833952,237771,102872,269427,101700,174458,105217,142802,106389
